"title","authors","year_published","type","total_citations","2020","2021","2022","2023","2024","2025","2026","matched_keywords","matched_go_words","source_syllabi"
"Urban Ecology: Science of Cities","Richard T. T. Forman","2014","book","3","0","0","0","1","1","0","1","ecological, science","science, ecological, urban","2023cprize-33; 2024cprize-30; 2026cprize-31"
"Urbanism in the Age of Climate Change","Peter Calthorpe","2011","book","3","0","2","0","0","0","0","1","climate, change","climate, change","2021cprize-01; 2021cprize-22; 2026cprize-26"
"Vernacular Architecture in the 21st Century: Theory, Education and Practice","Lindsay Asquith; Marcel Vellinga","2006","book","3","0","2","0","0","0","0","1","","vernacular, theory, architecture","2021cprize-20; 2021cprize-37; 2026cprize-06"
"Water in times of Climate Change","J.J. Hasselaar; E. Ijmker","2021","book","3","0","0","0","1","1","1","0","climate, change","water, climate, change","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Who Builds Your Architecture?: An Advocacy Report","Kadambari Baxi; Jordan Carver; Mabel Wilson","","website","3","3","0","0","0","0","0","0","","architecture","2020cprize-02; 2020cprize-12; 2020cprize-46"
"Why We Disagree About Climate Change: Understanding Controversy, Inaction, and Opportunity","Mike Hulme","2009","book","3","2","1","0","0","0","0","0","climate, change","climate, change","2020cprize-21; 2020cprize-55; 2021cprize-47"
"With A Green New Deal, Here's What the World Could Look Like for the Next Generation","Kate Aronoff","2018","article","3","1","1","0","0","1","0","0","world","world","2020cprize-60; 2021cprize-56; 2024cprize-32"
"Yamuna River Project: New Delhi Urban Ecology","Inaki Alday; Pankaj Vir Gupta","2018","book","3","1","0","0","0","1","0","1","ecological","ecological, river, urban","2020cprize-47; 2024cprize-20; 2026cprize-31"
"""Accumulation"" series","Nick Axel; Daniel A. Barber; Nikolaus Hirsch; Anton Vidokle","2018","other","2","1","0","0","0","1","0","0","","","2020cprize-25; 2024cprize-01"
"(IN)FORMAL L.A.: The Space of Politics","Victor J. Jones","2014","book","2","0","0","0","0","0","1","1","","space","2026cprize-61; 2025cprize-36"
"10 Stories of Collective Housing","A. Per Fernandez; J. Mozas; A. Ollero","2013","book","2","0","1","1","0","0","0","0","","house","2022cprize-07; 2021cprize-15"
"1491: New Revelations of the Americas before Columbus","Charles C. Mann","2006","book","2","0","0","0","0","1","0","1","","","2024cprize-19; 2026cprize-28"
"160 Years of Borders Evolution in Dunkirk: Petroleum, Permeability, and Porosity","S. Hauser; P. Zhu; A. Mehan","2021","article","2","0","0","0","0","1","1","0","","","2024cprize-06; 2025cprize-03"
"A Commentary: Breathing Together Now","Timothy Choy","2020","article","2","0","0","0","1","1","0","0","","","2023cprize-14; 2024cprize-42"
"A Distant Bridge / Un pont à part","Victor J. Jones","2016","book","2","0","0","0","0","0","1","1","","","2026cprize-61; 2025cprize-36"
"A Green New Deal for Housing","Daniel Aldana Cohen","2019","article","2","0","1","0","0","0","1","0","","house","2021cprize-02; 2025cprize-28"
"A House in the Sun: Modern Architecture and Solar Energy","Daniel Barber","2016","book","2","1","1","0","0","0","0","0","energy","energy, house, architecture","2020cprize-30; 2021cprize-02"
"A New Philosophy of Society: Assemblage Theory and Social Complexity","Manuel DeLanda","2006","book","2","1","0","0","0","0","0","1","society","social, theory","2020cprize-45; 2026cprize-11"
"A People's Archive of Sinking and Melting","Amy Balkin","2012","other","2","1","1","0","0","0","0","0","","archive","2020cprize-21; 2021cprize-13"
"A Safe Operating Space for Humanity","J. Rockström; W. Steffen; K. Noone; et al.","2009","article","2","1","1","0","0","0","0","0","","space","2020cprize-09; 2021cprize-40"
"A World Built on Sand and Oil","Laleh Khalili","","article","2","1","1","0","0","0","0","0","world","world, oil","2020cprize-29; 2021cprize-43"
"Activism in Architecture: Bright Dreams of Passive Energy Design","Carolina Dayer; Kimberly McDonald","2019","book","2","1","0","0","1","0","0","0","energy","energy, design, architecture","2020cprize-65; 2023cprize-27"
"Adapting Buildings and Cities for Climate Change","S. Roaf; et al.","2005","book","2","1","0","0","1","0","0","0","climate, change","climate, change","2020cprize-65; 2023cprize-27"
"Adaptive Thermal Comfort: Foundations and Analysis","R. de Dear; G. Brager","2018","book","2","0","0","0","0","0","0","2","","adaptive","2026cprize-66; 2026cprize-02"
"Affective Architectures","Angela Person","2020","book","2","0","1","0","1","0","0","0","","","2021cprize-04; 2023cprize-06"
"After the City","Lars Lerup","","book","2","1","1","0","0","0","0","0","","city","2020cprize-29; 2021cprize-43"
"Agency at the Time of the Anthropocene","Bruno Latour","2014","article","2","2","0","0","0","0","0","0","","anthropocene, agency","2020cprize-21; 2020cprize-54"
"AIA Guide to Life-Cycle Assessment of Buildings","AIA","2010","report","2","1","1","0","0","0","0","0","","","2020cprize-07; 2021cprize-36"
"AIA Resolution for Urgent and Sustained Climate Action","AIA","2019","report","2","1","1","0","0","0","0","0","climate","climate","2020cprize-07; 2021cprize-36"
"Air as Medium","Eva Horn","2018","article","2","1","0","0","0","0","0","1","","air","2026cprize-48; 2020cprize-02"
"Air-Conditioning America: Engineers and the Controlled Environment, 1900-1960","Gail Cooper","2002","book","2","1","0","0","0","1","0","0","environmental","air","2020cprize-24; 2024cprize-24"
"An Indigenous Peoples' History of the United States","Roxanne Dunbar-Ortiz","2015","book","2","1","1","0","0","0","0","0","","indigenous, history","2020cprize-14; 2021cprize-17"
"An Outline Of Philosophy","Bertrand Russell","1995","book","2","1","1","0","0","0","0","0","","","2020cprize-35; 2021cprize-48"
"Andy Goldsworthy: Anthropocentric/Ecocentric Beauty","Andy Goldsworthy","1990","book","2","0","0","1","0","1","0","0","","","2024cprize-23; 2022cprize-30"
"Anthropocene, Capitalocene, Plantationocene, Chthulucene: Making Kin","Donna Haraway","2015","article","2","2","0","0","0","0","0","0","","anthropocene","2020cprize-54; 2020cprize-58"
"Anthropozine #0","Andy Yang","","other","2","1","1","0","0","0","0","0","","","2020cprize-53; 2021cprize-34"
"Apocalypse Forever? Post-political Populism and the Spectre of Climate Change","Erik Swyngedouw","2010","article","2","2","0","0","0","0","0","0","climate, change","climate, change","2020cprize-09; 2020cprize-32"
"Architectural History in the Anthropocene: Towards Methodology","Esther da Costa Meyer","2016","article","2","1","0","0","1","0","0","0","","anthropocene, history","2020cprize-54; 2023cprize-14"
"Architectural Research in an Age of Open Systems","Kiel Moe","2018","article","2","0","1","0","1","0","0","0","systems","system, research","2021cprize-15; 2023cprize-36"
"Architectural Research Methods","Linda N. Groat; David Wang","2013","book","2","0","1","0","1","0","0","0","","research","2021cprize-20; 2023cprize-09"
"Architecture and Climate Change: 20 interviews on the Future of Building","The American Institute of Architects (AIA)","2014","report","2","1","0","0","0","0","1","0","climate, change, future","building, climate, change, architecture, future","2020cprize-21; 2025cprize-19"
"Architecture and Climate: An Environmental History of British Architecture 1600-2000","Dean Hawkes","2012","book","2","2","0","0","0","0","0","0","climate, environmental","climate, history, architecture","2020cprize-05; 2020cprize-49"
"Architecture and Energy: Performance and Style","William W. Braham; Daniel Willis","2013","book","2","0","1","0","1","0","0","0","energy","energy, performance, architecture","2021cprize-49; 2023cprize-28"
"Architecture as Measure","Irénée Scalbert","2020","book","2","0","0","1","1","0","0","0","","architecture","2023cprize-23; 2022cprize-30"
"Architecture from the Outside: Essays on Virtual and Real Space","Elizabeth A. Grosz","2001","book","2","0","1","1","0","0","0","0","","virtual, space, architecture","2021cprize-61; 2022cprize-28"
"Architecture on the Edge: The Sea Level Rise Studio","Gabriel Kaprielian","2019","other","2","1","1","0","0","0","0","0","","sea, architecture","2020cprize-68; 2021cprize-27"
"Architecture, Animal, Human: The Asymmetrical Condition","Catherine Ingraham","2005","book","2","0","0","2","0","0","0","0","human","human, architecture","2022cprize-15; 2022cprize-18"
"Arcology: The City in the Image of Man","Paolo Soleri","1983","book","2","0","0","1","0","0","0","1","","city","2022cprize-24; 2026cprize-38"
"Are We Human?","Beatriz Colomina; Mark Wigley","2016","book","2","0","0","2","0","0","0","0","human","human","2022cprize-15; 2022cprize-18"
"Are We Human? Notes on an Archaeology of Design","Beatriz Colomina; Mark Wigley","2016","book","2","0","1","0","0","1","0","0","human","human, design","2021cprize-41; 2024cprize-42"
"Arguing Globalizations: Propositions towards an Investigation of Global Formation","P. James","2005","article","2","1","1","0","0","0","0","0","global","global","2020cprize-35; 2021cprize-48"
"As We Have Always Done: Indigenous Freedom Through Radical Resistance","Leanne Betasamosake Simpson","2017","book","2","1","0","0","0","0","0","1","","indigenous, radical","2020cprize-14; 2026cprize-20"
"ASHRAE Standard 209-2018: Energy Simulation Aided Design for Buildings except Low-Rise Residential Buildings","ASHRAE","2018","report","2","0","1","0","0","1","0","0","energy","energy, design","2021cprize-58; 2024cprize-24"
"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence","Kate Crawford; et al.","2021","book","2","0","0","0","0","1","0","1","","planet, artificial, intelligence, ai","2026cprize-45; 2024cprize-39"
"Atlas of Another America","Keith Krumwiede","","book","2","0","0","0","1","1","0","0","","","2023cprize-33; 2024cprize-30"
"Atmospheres and Thinking Architecture","Peter Zumthor","","book","2","0","0","0","0","1","1","0","","architecture","2024cprize-34; 2025cprize-27"
"Becoming Oil Incarnate in Houston's Weiss Energy Hall","Daryl Meador","","article","2","1","1","0","0","0","0","0","energy","energy, oil","2020cprize-29; 2021cprize-43"
"Being and Swine: The End of Nature (As We Knew It)","Fahim Amir","2020","book","2","0","0","2","0","0","0","0","nature","","2022cprize-03; 2022cprize-28"
"Being Digital","Nicholas Negroponte","1995","book","2","0","0","0","0","1","0","1","","digital","2024cprize-23; 2026cprize-11"
"Between Land and Sea: An Approach for Resilient Waterfront Development Along the San Francisco Bay","Gabriel Kaprielian","2017","article","2","1","1","0","0","0","0","0","","land, resiliency, sea","2020cprize-68; 2021cprize-27"
"Beyond Sustaining Beauty: Musings on a Manifesto","Elizabeth Meyer","2015","chapter","2","2","0","0","0","0","0","0","","","2020cprize-41; 2020cprize-55"
"Beyond Zero: The Time Value of Carbon","Erin McDade","2017","chapter","2","1","0","1","0","0","0","0","carbon","carbon","2020cprize-33; 2022cprize-21"
"Biomimetics in Architecture: Architecture of Life and Buildings","P. Gruber","2011","book","2","0","1","0","1","0","0","0","","architecture","2021cprize-46; 2023cprize-37"
"Biophilic Design: The Theory, Science and Practice of Bringing Buildings to Life","Stephen R. Kellert; Judith Heerwagen; Martin Mador","2008","book","2","1","0","0","0","0","0","1","science","science, theory, design","2020cprize-30; 2026cprize-44"
"Bloodchild & other stories","Octavia Butler","1995","book","2","0","0","2","0","0","0","0","","","2022cprize-15; 2022cprize-18"
"Blue Infrastructures: An Exploration of Oceanic Networks and Urban–Industrial–Energy Interactions in the Gulf of Mexico","A. Mehan; Z.S. Casey","2023","article","2","0","0","0","0","1","1","0","energy","energy, urban","2024cprize-06; 2025cprize-03"
"Bodily Natures: Science, Environment, and the Material Self","Stacy Alaimo","2010","book","2","0","0","2","0","0","0","0","environmental, material, science","material, science","2022cprize-15; 2022cprize-18"
"Borderwall as Architecture: A Manifesto for the U.S.-Mexico Boundary","Ronald Rael","2017","book","2","1","0","1","0","0","0","0","","architecture","2020cprize-45; 2022cprize-20"
"Brave New Home","Diana Lind","","book","2","0","0","0","1","1","0","0","","","2023cprize-33; 2024cprize-30"
"Build beyond Zero: New Ideas for Carbon-Smart Architecture","Bruce King; Chris Magwood","2022","book","2","0","0","0","0","0","1","1","carbon","build, architecture, carbon","2026cprize-50; 2025cprize-33"
"Building Codes Illustrated: a Guide to Understanding the 2018 International Building Code","Francis D. K. Ching; Steven R. Winkel","2018","book","2","2","0","0","0","0","0","0","","building, international","2020cprize-16; 2020cprize-57"
"Building Dynamics: Exploring Architecture of Change","Branko Kolarevic; Vera Parlac","2015","book","2","1","0","0","0","0","0","1","change","building, change, architecture","2026cprize-66; 2020cprize-45"
"Building from Tradition: Local Materials and Methods in Contemporary Architecture","Simon J. Bronner","2006","chapter","2","0","0","0","0","1","0","1","material","material, building, local, architecture","2026cprize-57; 2024cprize-27"
"Building from Waste: Recovered Materials in Architecture and Construction","F. Heisel; D. E. Hebel; M. H. Wisniewska","2014","book","2","0","0","0","0","1","1","0","material","material, construction, building, waste, architecture","2024cprize-04; 2025cprize-13"
"Building Resilience: Social Capital in Post-Disaster Recovery","Daniel P. Aldrich","2018","website","2","0","1","0","1","0","0","0","resilience","social, building, disaster","2021cprize-29; 2023cprize-06"
"Building Systems: Design, Technology, and Society","Kiel Moe; Ryan E. Smith","","book","2","0","1","0","0","1","0","0","systems, society","social, building, technology, system, design","2021cprize-11; 2024cprize-01"
"Building the Dream: A Social History of Housing in America","Gwendolyn Wright","1983","chapter","2","0","1","0","0","1","0","0","","social, building, house, history","2021cprize-15; 2024cprize-01"
"Building with Earth: Design and Technology of a Sustainable Architecture","Steven J. Stein; Michael G. Reynolds","","book","2","0","0","0","0","1","0","1","sustainable","building, technology, earth, sustainability, design, architecture","2024cprize-27; 2026cprize-34"
"Buildings Don't Use Energy: People Do","Kathryn B. Janda","2011","article","2","1","1","0","0","0","0","0","energy","energy","2020cprize-39; 2021cprize-20"
"Cadillac Desert: The American West and Its Disappearing Water","M. Reisner; L. Mott","1986","book","2","0","0","0","0","1","0","1","","water","2026cprize-55; 2024cprize-15"
"Can Architects Be Socially Responsible?","Margaret Crawford","1991","chapter","2","0","1","1","0","0","0","0","","","2021cprize-44; 2022cprize-24"
"Cannibals with Forks: The Triple Bottom Line of 21st Century Business","John Elkington","1997","book","2","1","0","0","0","0","1","0","","","2020cprize-08; 2025cprize-11"
"Capital: The Eruption of Delhi","R. Dasgupta","2014","book","2","1","0","0","0","0","0","1","","","2020cprize-47; 2026cprize-31"
"Capitalism vs the Climate","Naomi Klein","2015","book","2","1","1","0","0","0","0","0","climate","capitalism, climate","2020cprize-34; 2021cprize-52"
"Capitalizing on Environmental Injustice: The Polluter-Industrial Complex in the Age of Globalization","Daniel Faber","2008","book","2","1","1","0","0","0","0","0","environmental","injustice","2020cprize-34; 2021cprize-52"
"Cartographies of Time: A History of the Timeline","Daniel Rosenberg; Anthony Grafton","2012","book","2","0","0","0","0","0","1","1","","history","2025cprize-02; 2026cprize-04"
"Challenging Conventional Wisdom in the Age of Computing","Khaled Mansy","2018","other","2","1","1","0","0","0","0","0","","","2020cprize-07; 2021cprize-36"
"Chapter 1: Introduction: Emergy and Real Wealth","Matti Kuittinen; Alan Organschi; Andrew Ruff","1996","chapter","2","1","0","0","0","0","0","1","","","2020cprize-09; 2026cprize-03"
"Circular Options for Building Services Report","Ben Croxford; Ramon Mendoza; Simon-Joe Portal; Dimitrios Rovas","2018","report","2","0","0","0","0","2","0","0","","building","2024cprize-25; 2024cprize-26"
"City Making","Gerald Frug","1999","book","2","1","1","0","0","0","0","0","","city","2020cprize-34; 2021cprize-52"
"Clay: The History and Evolution of Humankind's Relationship with Earth's Most Primal Element","Suzanne Staubach","","book","2","1","1","0","0","0","0","0","","earth, history","2020cprize-53; 2021cprize-34"
"Climate Action Plan: The Climate Imperative","City of Houston","2020","report","2","0","2","0","0","0","0","0","climate","climate, plan","2021cprize-29; 2021cprize-36"
"Climate adaptation and resilience across scales: From buildings to cities","N. B. Rajkovich; S. H. Holmes","2022","book","2","0","0","0","0","0","0","2","climate, resilience","climate","2026cprize-26; 2026cprize-12"
"Climate and architecture: Designing for the dynamics of nature","Jeffrey Ellis Aronin","1953","book","2","1","0","0","0","1","0","0","climate, nature","climate, architecture","2020cprize-05; 2024cprize-15"
"Climate change and infrastructure, urban systems, and vulnerabilities: Technical report for the US Department of Energy in support of the national climate assessment","Thomas J. Wilbanks; Steven Fernandez","2014","book","2","2","0","0","0","0","0","0","climate, change, systems, energy, infrastructure","energy, infrastructure, technology, technical, climate, system, change, urban","2020cprize-15; 2020cprize-31"
"Climate Change: What Everyone Needs to Know","Joseph Romm","2015","book","2","1","1","0","0","0","0","0","climate, change","climate, change","2020cprize-59; 2021cprize-27"
"Climate Control: From Emergency to Emergence","T. J. Demos","2019","article","2","1","0","0","1","0","0","0","climate","climate, emergency","2020cprize-66; 2023cprize-14"
"Climate Crisis and the Global Green New Deal: The Political Economy of Saving the Planet","Noam Chomsky; Robert Pollin","2020","book","2","0","2","0","0","0","0","0","climate, global, economic","economy, climate, global, planet, crisis","2021cprize-02; 2021cprize-17"
"Climate Impact Assessment for the City of Houston","City of Houston","2020","report","2","0","1","0","1","0","0","0","climate, impact","climate, city","2021cprize-49; 2023cprize-28"
"Climate justice planning in the global south: Applying a coupled nature-human flood risk assessment framework in a case for Ho Chi Minh City, Vietnam","C. F. Wu; S. H. Chen; C. Cheng; L. V. T. Trac","2021","article","2","0","0","0","0","1","1","0","climate, global, human, justice, nature","human, risk, climate, global, justice, flood, city","2024cprize-10; 2025cprize-07"
"Climate Report, Summary for Policy Makers","IPCC","","report","2","0","0","0","1","1","0","0","climate","climate","2023cprize-33; 2024cprize-30"
"Climate-Driven Design I: Building Energy Use, Climate and Comfort, Passive Design Strategies","Christophe Reinhart","2025","book","2","0","0","0","0","0","0","2","climate, energy","energy, building, climate, design","2026cprize-33; 2026cprize-07"
"Climate-Informed Capital Investment Planning","J. Whittington; A. I. Greve","2020","report","2","1","0","0","1","0","0","0","climate","climate","2020cprize-65; 2023cprize-27"
"Clip, Stamp, Fold: The Radical Architecture of Little Magazines 196X to 197X","Beatriz Colomina; Craig Buckley","2010","book","2","0","0","0","0","1","1","0","","radical, architecture","2024cprize-28; 2025cprize-21"
"Cloud Atlas","David Mitchell","2012","book","2","1","1","0","0","0","0","0","","","2020cprize-33; 2021cprize-56"
"Community Lifelines Implementation Toolkit, Version 2.0","Federal Emergency Management Agency (FEMA)","2019","report","2","1","0","0","1","0","0","0","community","","2020cprize-65; 2023cprize-27"
"Compelling yet Unreliable Theories of Sustainability","Kiel Moe","2007","article","2","0","2","0","0","0","0","0","sustainable","sustainability","2021cprize-15; 2021cprize-33"
"Complex Adaptive Systems","J. Holland","2014","chapter","2","1","1","0","0","0","0","0","systems","adaptive, system","2020cprize-35; 2021cprize-48"
"Concrete and Clay: Reworking Nature in New York City","Matthew Gandy","2002","book","2","1","0","0","0","0","1","0","nature","city","2020cprize-27; 2025cprize-18"
"Congressional Policy Tracker","Utility Dive","2019","website","2","1","1","0","0","0","0","0","","","2020cprize-34; 2021cprize-52"
"Container Atlas","Han Slawik; Julia Bergmann; Matthias Buchmeier","","book","2","0","0","0","1","1","0","0","","","2023cprize-32; 2024cprize-29"
"Contesting climate justice in the city: Examining politics and practice in urban climate change experiments","H. Bulkeley; G. A. S. Edwards; S. Fuller","2014","article","2","0","0","0","0","1","1","0","climate, change, justice","climate, justice, change, city, urban","2024cprize-10; 2025cprize-07"
"Cool Cities: Urban Sovereignty and the Fix for Global Warming","B. Barber","2017","book","2","1","0","0","1","0","0","0","global","global, warming, urban","2020cprize-65; 2023cprize-27"
"Coupling: Strategies for Infrastructural Opportunism","Neeraj Bhatia","2011","book","2","0","0","0","1","0","1","0","infrastructure","infrastructure","2025cprize-02; 2023cprize-02"
"Creating a New City: Columbia, Maryland","Robert Tennenbaum","1996","book","2","0","2","0","0","0","0","0","","city","2021cprize-12; 2021cprize-45"
"Critical Path","R. Buckminster Fuller","1981","book","2","1","0","1","0","0","0","0","critical","critical","2020cprize-62; 2022cprize-25"
"Critical Spatial Practice 4: Subtraction","Keller Easterling","2014","book","2","1","0","1","0","0","0","0","critical","critical, space","2022cprize-08; 2020cprize-46"
"Critical Zones: The Science and Politics of Landing on Earth","Bruno Latour; Peter Weibel","2020","book","2","0","0","0","0","0","1","1","critical, science","science, critical, earth","2026cprize-20; 2025cprize-09"
"Cultural Assumptions Against Sustainability: An International Survey","B. Gambini","2006","article","2","1","1","0","0","0","0","0","sustainable","international, culture, sustainability","2020cprize-35; 2021cprize-48"
"Cyborg Landscapes: Choreographing resilient interactions between infrastructure, ecology, and society","Emanuele Coccia","2025","chapter","2","1","0","0","0","0","0","1","infrastructure, society, ecological","infrastructure, social, landscape, ecological, resiliency","2026cprize-56; 2020cprize-40"
"Daylight Rules-of-Thumb Experimentally Examined","Khaled Mansy","2017","other","2","1","1","0","0","0","0","0","","","2020cprize-07; 2021cprize-36"
"Deceit and Denial: The Deadly Politics of Industrial Pollution","Gerald Markowitz; David Rosner","2013","book","2","1","1","0","0","0","0","0","","","2020cprize-34; 2021cprize-52"
"Desert Solitaire","E. Abbey","1990","book","2","0","0","0","1","1","0","0","","","2023cprize-32; 2024cprize-41"
"Design as Play! The Sea Level Rise Board Game","Gabriel Kaprielian","2018","other","2","1","1","0","0","0","0","0","","sea, design","2020cprize-68; 2021cprize-27"
"Design at the Edges: Crossing Boundaries of Space and Practice","M. Mick; F. Wettstein","2023","article","2","0","0","0","0","1","1","0","","space, design","2024cprize-34; 2025cprize-27"
"Design Guidelines for Sustainable Biological Field Stations","K. Mansy; G. Gundersen; M. W. Palmer","2010","report","2","1","1","0","0","0","0","0","sustainable","sustainability, design","2020cprize-07; 2021cprize-36"
"Design with Nature Now","Steiner; Weller; M'Closkey; Fleming","","book","2","0","0","0","0","1","1","0","nature","design","2024cprize-34; 2025cprize-27"
"Design-build in Architectural Education: Motivations, Practices, Challenges, Successes and Failures","Canizaro, Vincent","2012","article","2","1","1","0","0","0","0","0","","build, design","2020cprize-39; 2021cprize-20"
"Designing Environmental Relations: From Opacity to Textility","Mike Anusas; Tim Ingold","2013","article","2","1","0","0","0","0","0","1","environmental","","2026cprize-59; 2020cprize-46"
"Designing from Place: A Regenerative Framework and Methodology","Pamela Mang; Bill Reed","2012","article","2","0","1","0","0","1","0","0","","regenerative, place","2021cprize-46; 2024cprize-07"
"Designing the Forest and other Mass Timber Futures","Lindsey Wikstrom","2023","book","2","0","0","0","0","1","1","0","","timber","2024cprize-23; 2025cprize-33"
"Detail in Contemporary Residential Architecture: Includes CD-ROM","David Phillips; Megumi Yamashita","","book","2","0","1","0","0","1","0","0","","architecture","2021cprize-11; 2024cprize-01"
"Detail in Contemporary Timber Architecture","Christine Killory; Rene Davids","2007","book","2","1","1","0","0","0","0","0","","timber, architecture","2020cprize-16; 2021cprize-11"
"Development Against Freedom and Sustainability","D. Debal","2006","article","2","1","1","0","0","0","0","0","sustainable","sustainability","2020cprize-35; 2021cprize-48"
"Development of methods and practices of virtual reality as a tool for participatory urban planning: a case study of Vilnius City as an example for improving environmental, social and energy sustainability","G. Stauskis","","report","2","0","0","0","0","0","1","1","environmental, energy, sustainable","energy, social, virtual, tool, sustainability, city, urban","2026cprize-22; 2025cprize-10"
"Digital Fabrication and 'Making' in Education: The Democratization of Invention","Paulo Blikstein","2013","chapter","2","1","1","0","0","0","0","0","","digital, fabrication","2020cprize-39; 2021cprize-20"
"Disposable City: Miami's Future on the Shores of Climate Catastrophe","Mario Alejandro Ariza","2020","book","2","0","0","1","0","0","1","0","climate, future","climate, city, future","2022cprize-16; 2025cprize-16"
"Do Alaska Native People Get Free Medical Care and Other Frequently Asked Questions about Alaska Native Issues and Cultures","Libby Roderick","2008","book","2","0","0","0","1","0","1","0","issue","","2025cprize-02; 2023cprize-02"
"Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming","Paul Hawken","2017","book","2","1","0","1","0","0","0","0","global","global, plan, warming","2022cprize-12; 2020cprize-59"
"Drawing Deserts, Making Worlds","Danika Cooper","2022","chapter","2","0","0","0","0","0","0","2","","drawing","2026cprize-55; 2026cprize-04"
"Drosscape","Alan M. Berger","2006","book","2","0","0","0","1","0","1","0","","","2023cprize-32; 2025cprize-26"
"Earth, Sky, Wind, and Weather","Tim Ingold","2007","article","2","1","0","0","0","0","0","1","","weather, earth","2026cprize-59; 2020cprize-12"
"Ecofeminism and climate change","Greta Gaard","2015","article","2","1","1","0","0","0","0","0","climate, change","climate, change","2020cprize-35; 2021cprize-48"
"Ecological Architecture: Adaptive Systems and Design Ethics","Simone Ferracina","2005","book","2","0","0","1","0","0","0","1","systems, ecological","adaptive, system, ecological, ethics, design, architecture","2022cprize-20; 2026cprize-38"
"Ecology and Design: Frameworks for Learning","Bart Johnson; Kristina Hill","","book","2","0","0","0","0","1","1","0","ecological","ecological, design","2024cprize-34; 2025cprize-27"
"Ecology and Landscape as Agents of Creativity","James Corner","1997","chapter","2","1","0","1","0","0","0","0","ecological","landscape, ecological","2020cprize-04; 2022cprize-30"
"Ecology of Cities","Nancy Grimm","","book","2","0","0","0","1","1","0","0","ecological","ecological","2023cprize-33; 2024cprize-30"
"Edge City: Life on the New Frontier","James O'Leary; Kristen Kreider","2013","book","2","0","1","0","0","0","0","1","","city","2021cprize-12; 2026cprize-30"
"Educating the 21st Century Architect: Complexity, Innovation, Interdisciplinary Methods, and Research in Design","Michael Jenson","2007","chapter","2","1","1","0","0","0","0","0","","innovation, research, design, architect","2020cprize-35; 2021cprize-48"
"Effect of Water Resources in the Queretaro River: Climate Analysis and Other Changes","E. Gonzalez-Sosa; N. M. Ramos-Salinas; C. A. Mastachi-Loza; R. Becerril-Pin","2013","chapter","2","0","0","0","0","1","1","0","climate, resource","water, resource, climate, river","2024cprize-10; 2025cprize-07"
"Embedding Justice in Resilient Climate Change Action","A. Mehan; B. Tafrata","2022","chapter","2","0","0","0","0","1","1","0","climate, change, justice","climate, resiliency, justice, change","2024cprize-06; 2025cprize-03"
"Emergence: The Connected Lives of Ants, Brains, Cities, and Software","Steven Johnson","2001","book","2","1","0","1","0","0","0","0","","","2020cprize-45; 2022cprize-25"
"Ending fossil fuels: Why net zero is not enough","Holly Jean Buck","2021","book","2","0","0","0","0","1","1","0","","fossil fuel","2024cprize-12; 2025cprize-33"
"Energy and Experience: An Essay in Nafthology","Antti Salminen; Vadén, Tere","","book","2","1","1","0","0","0","0","0","energy, experience","energy, experience","2020cprize-29; 2021cprize-43"
"Energy Performance within Integrative Design, Barriers in Academia","Khaled Mansy","2017","other","2","1","1","0","0","0","0","0","energy","energy, performance, design","2020cprize-07; 2021cprize-36"
"Energy Politics","Bret Gustafson","2019","book","2","0","2","0","0","0","0","0","energy","energy","2021cprize-02; 2021cprize-52"
"Energy Transitions, Dominant Fuels","Vaclav Smil","","chapter","2","1","1","0","0","0","0","0","energy","energy","2020cprize-29; 2021cprize-43"
"Energyscapes, Architecture, and the Expanded Field of Postindustrial Philosophy","Jeff Diamanti","","article","2","1","1","0","0","0","0","0","","architecture","2020cprize-29; 2021cprize-43"
"Enlightenment Anthropocene","Alan Mikhail","2016","article","2","1","1","0","0","0","0","0","","anthropocene","2020cprize-35; 2021cprize-48"
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","Merlin Sheldrake","2020","book","2","0","0","0","1","1","0","0","change","make, change","2024cprize-01; 2023cprize-07"
"Environment, c. 1973","Reinhold Martin","2004","article","2","2","0","0","0","0","0","0","environmental","","2020cprize-43; 2020cprize-51"
"Environmental history of modern oil in India","G. Prakash","2017","chapter","2","0","0","0","0","1","1","0","environmental","history, oil","2024cprize-06; 2025cprize-03"
"Environmental Justice: A Case Study into the Heat Vulnerable Neighborhoods of Philadelphia","E. May; P. Du; V. Martine","2023","other","2","0","0","0","1","0","1","0","environmental, justice","heat, justice","2023cprize-35; 2025cprize-19"
"Environmental Law in a Nutshell","Daniel A. Farber","2019","book","2","1","1","0","0","0","0","0","environmental","","2020cprize-34; 2021cprize-52"
"Environmental Management (in The Architecture of the Well-Tempered Environment)","Reyner Banham","1984","chapter","2","0","1","0","1","0","0","0","environmental","management, architecture","2021cprize-18; 2023cprize-17"
"Environmentalism and social justice in Texas: Oil, power, and pollution","R. Peckham; S. M. Walcott","2019","book","2","0","0","0","0","1","1","0","justice, texas","social, justice, oil","2024cprize-06; 2025cprize-03"
"Erasure Urbanism","Patty Heyda","2017","chapter","2","1","0","0","1","0","0","0","","","2020cprize-34; 2023cprize-33"
