"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"Four Walls and a Roof: The Complex Nature of a Simple Profession","Reinier de Graaf","2017","book","","","Harvard University Press","","","","2","1","0","1","0","0","0","0","2022cprize-03; 2020cprize-60"
"Fresh Water: Design Research for inland water territories","M.P. McGuire; J.M. Henson","2021","book","","","AR+D Publishing","","","","2","0","0","0","1","1","0","0","2023cprize-38; 2024cprize-10"
"From environmental to climate justice: climate change and the discourse of environmental justice","David Schlosberg; Lisette B. Collins","2014","article","","","","Wiley Interdisciplinary Reviews","","","2","0","0","1","0","0","1","0","2022cprize-05; 2025cprize-35"
"From Exigent to Adaptive","Liz Gálvez","2019","article","","","","Footprint 25: The Human Conditioned","","","2","0","1","0","0","1","0","0","2021cprize-18; 2024cprize-24"
"From the politics of nature to the politics of the urban: Cultivating the urban commons","E. Swyngedouw","2015","article","","","Routledge","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Ganges Water Machine: Designing New India's Ancient River","A. Acciavatti; A. Bierig; D. Corrigall","2015","book","","","Applied Research + Design Publishing","","","","2","1","0","0","0","0","0","1","2020cprize-47; 2026cprize-31"
"Geographies of Extraction and Industrialization: Oil and Gas Development in China and the United States","H. Wang","2019","book","","","Routledge","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Geological Form","Stan Allen","","chapter","","","","","Landform Building","","2","1","1","0","0","0","0","0","2020cprize-53; 2021cprize-34"
"Geothermal Brines Could Propel California's Green Economy","Julie Chao","2020","website","","","News Center","","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"Give Me a Gun and I Will Make All Buildings Move","Bruno Latour; Albena Yaneva","2008","chapter","","","","","Explorations in Architecture: Teaching, Design, Research","","2","1","0","0","0","1","0","0","2020cprize-09; 2024cprize-09"
"Global Status Report","Global Alliance for Buildings and Construction","2018","report","","","","","","","2","1","1","0","0","0","0","0","2020cprize-33; 2021cprize-27"
"Global Warming's Terrifying New Math","Bill McKibben","2012","article","","","","Rolling Stone","","","2","2","0","0","0","0","0","0","2020cprize-15; 2020cprize-21"
"Globalization and environmental education: looking beyond sustainable development","B. Jickling; Arjen E.J. Wals","2008","article","","","","Journal of Curriculum Studies","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"H.Res.109: Recognizing the Duty of the Federal Government to Create a Green New Deal","Alexandria Ocasio-Cortez; et al.","2019","report","","","","","","","2","0","2","0","0","0","0","0","2021cprize-52; 2021cprize-56"
"Habitat: Vernacular Architecture for a Changing Climate","Sandra Piesik","2024","book","","","Thames & Hudson","","","","2","0","0","0","0","1","0","1","2026cprize-64; 2024cprize-08"
"Handbook of Tyranny","Theo Deutinger","2018","book","State, the; Society in art; State, The, in art; The State; Pictorial works","","Lars Müller Publishers","","","9783037785348","2","0","0","0","1","0","1","0","2023cprize-40; 2025cprize-31"
"Happy City: Transforming Our Lives Through Urban Design","Charles Montgomery","","book","City planning; Public spaces; Architecture and society; Happiness; Psychological aspects","","","","","9780374534882","2","0","0","0","0","0","1","1","2026cprize-22; 2025cprize-10"
"Healthy Materials Lab","Parsons New School of Design","2023","website","","","","","","","2","0","0","0","0","2","0","0","2024cprize-25; 2024cprize-26"
"Hijacking Sustainability","Adrian Parr","2009","book","","","MIT Press","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Historical and Cultural Influences on Comfort Expectations","Gail Brager; Richard de Dear","2008","article","","","","","","","2","0","1","0","1","0","0","0","2021cprize-20; 2023cprize-28"
"History of the Earth: Darwin, Geology and Landscape Art","Rebecca Bedell","","other","","","","","","","2","1","1","0","0","0","0","0","2020cprize-53; 2021cprize-34"
"House Resolution 109: The Green New Deal Resolution","","2019","other","","","U.S. Congress","","","","2","2","0","0","0","0","0","0","2020cprize-41; 2020cprize-60"
"Housing the Contingent Life Course: Domestic Aspiration and Extreme Poverty in Peruvian Shantytowns","Kristin Skrabut","2018","other","","","","","","","2","1","1","0","0","0","0","0","2020cprize-33; 2021cprize-30"
"How the Pentagon Countered China's Designs on Greenland","","","website","","","WSJ","","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"How the Refrigerator Got Its Hum","Ruth Schwartz Cowan","1985","chapter","","","","","The Social Shaping of Technology","","2","1","1","0","0","0","0","0","2020cprize-09; 2021cprize-15"
"How to Make Almost Anything: The Digital Fabrication Revolution","Neil Gershenfeld","2012","article","","","","Foreign Affairs","","","2","1","1","0","0","0","0","0","2020cprize-39; 2021cprize-20"
"Human-Technology-World","D. Weiss","2008","article","","","","Techné","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Humanitarian Architecture: 15 Stories of Architects Working after Disaster","Esther Charlesworth","2014","book","","","","","","","2","0","2","0","0","0","0","0","2021cprize-26; 2021cprize-37"
"Humankind: Solidarity with Non-Human People","Timothy Morton","2019","book","","","","","","","2","1","0","0","0","1","0","0","2020cprize-66; 2024cprize-01"
"Hydraulic Houston","Dominic Boyer; Mark Vardy","","article","","","","Anthropocene Curriculum","","","2","1","1","0","0","0","0","0","2020cprize-29; 2021cprize-43"
"Ice Watch","Olafur Eliasson","2014","other","","","","","","","2","0","2","0","0","0","0","0","2021cprize-08; 2021cprize-13"
"Imagining Urban Futures: Cities in Science Fiction and What We Might Learn from Them","Carl Abbott","2016","book","","","","","","","2","0","1","0","0","1","0","0","2021cprize-56; 2024cprize-32"
"Imperfect Health: The Medicalization of Architecture","M. Zardini; G. Borasi; M. Campbell","2012","book","","","Canadian Center for Architecture / Lars Muller Publisher","","","","2","0","2","0","0","0","0","0","2021cprize-22; 2021cprize-45"
"In Praise of Shadows","Junichiro Tanizaki","1977","book","","","Leete's Island Books","","","","2","0","2","0","0","0","0","0","2021cprize-11; 2021cprize-12"
"In the Aura of a Hole: Exploring Sites of Material Extraction","A. Laurie Palmer","","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-53; 2021cprize-34"
"Indigenous Weaving Techniques in Shaping Building Skins","K. Spence; M. Mohsenin","2022","other","","","","Architecture Media Politics Conference","","","2","0","0","0","2","0","0","0","2023cprize-24; 2023cprize-25"
"Infrastructure Space","Keller Easterling","2017","book","","","Ruby Press","","","","2","1","0","0","0","0","0","1","2020cprize-21; 2026cprize-42"
"Insulating Modernism: Isolated and Non-Isolated Thermodynamics in Architecture","Kiel Moe","2014","book","","","Birkhäuser Verlag GmbH","","","","2","0","1","0","0","0","0","1","2021cprize-11; 2026cprize-33"
"Integrative Design: Building Systems for Architects and Architectural Engineers","Khaled Mansy","2016","book","","","Cognella Academic Publishing","","","","2","1","1","0","0","0","0","0","2020cprize-07; 2021cprize-36"
"Invisible Cities","Italo Calvino; William Weaver","","book","Fiction, general","","","","","9780436203916","2","0","1","0","0","1","0","0","2021cprize-12; 2024cprize-16"
"Inviting Atmospheres to the Architecture Table","Nerea Calvillo","2018","chapter","","","Mattering Press","","Inventing the Social","","2","1","0","0","0","0","0","1","2026cprize-48; 2020cprize-21"
"Junkspace with Running Room","R. Koolhaas; H. Foster","2016","article","","","Notting Hill Editions","","","","2","1","1","0","0","0","0","0","2020cprize-62; 2021cprize-45"
"Just transition: Integrating climate, energy and environmental justice","D. McCauley; R. Heffron","2018","article","","","","Energy Policy","","","2","0","0","0","0","1","1","0","2024cprize-10; 2025cprize-07"
"Just Transitions/Design for Transitions: Preliminary Notes on a Design Politics for a Green New Deal","Damian White","2019","article","","","","Capitalism Nature Socialism","","","2","0","1","0","1","0","0","0","2021cprize-17; 2023cprize-36"
"Kosmos: A General Survey of the Physical Phenomena of the Universe","Alexander von Humboldt","1845","book","","","Hippolyte Baillière","","","","2","0","1","1","0","0","0","0","2021cprize-54; 2022cprize-30"
"Kuala Lumpur: Community, Infrastructure, and Urban Inclusivity","A. Mehan","2020","book","","","Routledge","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Lab for Suburbia","Kroeber; Heyda; Hoeferlin; McAnally; Sheren","","website","","","","","","","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Land Arts of the American West","","2009","website","","","University of Texas Press","","","","2","0","0","0","1","0","0","1","2026cprize-55; 2023cprize-31"
"Landform building: Architecture's New Terrain","Stan Allen; Marc McQuade","2011","book","","","Lars Müller/Princeton University School of Architecture","","","","2","0","0","1","1","0","0","0","2022cprize-15; 2023cprize-31"
"Landscape Approach: From Local Communities to Territorial Systems","Zander; McCartney; Solano; Vangjeli","","book","","","","","","","2","0","0","0","0","1","1","0","2024cprize-34; 2025cprize-27"
"Landscapes of Energy","Rania Ghosn","2009","book","Landscape architecture; Urbanization; City planning","","Harvard University Press","New Geographies 2","","9781934510254","2","1","0","0","1","0","0","0","2020cprize-34; 2023cprize-09"
"Le Corbusier, the Brise-Soleil, and the Socio-climatic Project of Modern Architecture, 1929–1963","Daniel Barber","2012","article","","","","","","","2","0","0","1","0","1","0","0","2022cprize-02; 2024cprize-08"
"Learning by Doing in the Age of Design Computation","Özkar, Mine","2007","other","","","Springer Netherlands","CAADFutures","","","2","1","1","0","0","0","0","0","2020cprize-39; 2021cprize-20"
"Learning How to Die in the Anthropocene","Roy Scranton","2013","chapter","","","","","Energy Humanities: An Anthology","","2","1","1","0","0","0","0","0","2021cprize-60; 2020cprize-25"
"Lessons of Darkness","Werner Herzog","1992","other","","","","","","","2","1","1","0","0","0","0","0","2020cprize-29; 2021cprize-43"
"Library as Stoa: Snøhetta, Public Space, and Academic Mission in Snøhetta's Charles Library","Phillip Crosby; Kate Wingert-Playdon","2020","book","","","ORO Editions","","","","2","0","1","0","0","1","0","0","2021cprize-56; 2024cprize-32"
"Life After Cars: Freeing Ourselves from the Tyranny of the Automobile","Sarah Goodyear; Doug Gordon; Aaron Naparstek","2024","book","","","","","","","2","1","0","0","0","0","0","1","2026cprize-46; 2020cprize-41"
"Life Between Buildings: Using Public Space","Jan Gehl","2011","book","","","","","","","2","0","1","0","1","0","0","0","2021cprize-27; 2023cprize-39"
"Living Oil: Petroleum Culture in the American Century","Le Menager, Stephanie","2014","book","","","Oxford University Press","","","","2","1","0","0","0","0","0","1","2026cprize-55; 2020cprize-29"
"Machine Landscapes: Architectures of the Post Anthropocene","Liam Young","2019","book","","","Wiley","","","","2","0","0","1","0","0","1","0","2022cprize-03; 2025cprize-04"
"Making Coal Historical (a Road Trip)","James Graham","2018","article","","","","The Avery Review","","","2","1","1","0","0","0","0","0","2020cprize-46; 2021cprize-54"
"Making Room for the Future: Rebuilding California's Infrastructure","D. Dowall; J. Whittington","2003","report","","","Public Policy Institute of California","","","","2","1","0","0","1","0","0","0","2020cprize-65; 2023cprize-27"
"Making the Middle Landscape","Peter Rowe","","book","","","","","","","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Making the Modern World: Materials and Dematerialization","Vaclav Smil","2014","book","","","John Wiley & Sons","","","","2","1","1","0","0","0","0","0","2020cprize-33; 2021cprize-30"
"Man, Climate, and Architecture","Baruch Givoni","1969","book","Architecture and climate; Architecture et climat","","Elsevier","","","9780444200396","2","2","0","0","0","0","0","0","2020cprize-05; 2020cprize-62"
"Mapping the Global Architect of Alterity: Convention, Practice, Representation, and Education","Michael Jenson","2014","book","","","Routledge Publishers","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Mapping the Power of Fossil Capital","Bill Carroll","2019","article","","","","","","","2","0","1","1","0","0","0","0","2021cprize-52; 2022cprize-26"
"Mapping: An Illustrated Guide To Graphic Navigational Systems","Robert Fawcett-Tang; William Owen","2005","book","","","Rotovision","","","","2","0","0","0","0","0","1","1","2025cprize-02; 2026cprize-04"
"Material Misuse","Sheila Kennedy","2015","book","","","AA","","","","2","1","0","0","0","1","0","0","2020cprize-49; 2024cprize-24"
"Material Reform: Building for a Post-Carbon Future","Material Cultures; Amica Dall","2022","book","","","MACK","","","","2","0","0","0","0","1","0","1","2026cprize-56; 2024cprize-08"
"Materialism and the Critique of Energy","Brent Ryan Bellamy; Jeff Diamanti","2018","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-25; 2021cprize-52"
"Materiality: Mirrors","Reinhold Martin","","chapter","","","","","Utopia's Ghost: Architecture and Postmodernism, Again","","2","1","1","0","0","0","0","0","2020cprize-29; 2021cprize-43"
"Materials for Design 1","Victoria Bell; Patrick Rand","2006","book","","","Princeton Architectural Press","","","","2","2","0","0","0","0","0","0","2020cprize-16; 2020cprize-50"
"Maximum City: Bombay Lost and Found","Suketu Mehta","2004","book","","","Alfred A. Knopf","","","","2","1","0","0","0","0","0","1","2020cprize-47; 2026cprize-31"
"Maybe We're Not Really Doomed After All: We Have The Brains To Slow Climate Change. Do We Have The Will?","J. Gertner","2019","article","","","","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Measure for the Anthropocene","Neyran Turan","2016","chapter","","","Lars Muller Publishers","","Climates: Architecture and the Planetary Imaginary","","2","1","0","0","0","1","0","0","2020cprize-55; 2024cprize-15"
"Mechanical and Electrical Equipment for Buildings, 11th Edition","W.T. Grondzik; Alison G. Kwok","2019","book","","","John Wiley & Sons","","","","2","0","2","0","0","0","0","0","2021cprize-11; 2021cprize-51"
"Mediating Environments","Leena Cho; et al.","2019","book","","","Applied Research and Design Publishing / ORO Editions","","","","2","0","0","0","1","0","1","0","2025cprize-02; 2023cprize-02"
"Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Climate Change","Naomi Oreskes; Erik Conway","2011","book","","","Bloomsbury Publishing","","","","2","0","0","0","1","0","1","0","2023cprize-23; 2025cprize-32"
"Metropolis","Fritz Lang","1927","film","","","","","","","2","0","1","1","0","0","0","0","2022cprize-15; 2021cprize-56"
"Mississippi: An Anthropocene River","HKW Anthropocene Curriculum","2018","other","","","","","","","2","2","0","0","0","0","0","0","2020cprize-21; 2020cprize-42"
"Mobility and the American Dream","Darren Moen","","book","","","","","","","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Mobilizing Materialities: A Dialogue on the Planetary Condition, and New Aesthetic Environmental Imaginaries","Emily Eliza Scott; Ursula Biemann","2019","chapter","","","Sternberg Press","","Productive Universals - Specific Situations","","2","0","0","0","1","0","1","0","2023cprize-11; 2025cprize-06"
"Modern Architecture and Climate Design Before Air Conditioning","Daniel A. Barber","2020","book","Architecture; Architecture, modern, 20th century; Architecture and climate; Modern Architecture; Themes, motives","""Modern Architecture and Climate explores how leading architects of the twentieth century incorporated climate-mediating strategies into their designs, and shows how regional approaches to climate adaptability were essential to the development of modern architecture. Focusing on the period surrounding World War II-before fossil-fuel powered air-conditioning became widely available-Daniel Barber br","Princeton University Press","","","9780691170039","2","0","0","0","1","0","0","1","2023cprize-13; 2026cprize-14"
"Modernism's Visible Hand: Architecture and Regulation in America","Michael Osman","2018","book","","","University of Minnesota Press","","","","2","1","0","0","0","0","1","0","2020cprize-02; 2025cprize-32"
"Modernity at Large: Cultural Dimensions of Globalization","Arjun Appadurai","1996","book","","","University of Minnesota Press","","","","2","0","0","0","0","1","0","1","2024cprize-42; 2026cprize-06"
"My Beautiful City Austin","David Heymann","2014","book","Fiction, historical, general","","","","","9780990371403","2","1","0","0","1","0","0","0","2020cprize-11; 2023cprize-13"
"Météorologie des sentiments","Philippe Rahm","2015","book","","","Petits matins","","","","2","1","0","0","0","1","0","0","2020cprize-05; 2024cprize-15"
"Natural Energy and Vernacular Architecture: Principles and Examples with Reference to Hot Arid Climates","Hassan M. Fathy; Walter L. Shearer; Abd al-Rahman Sultan","1986","book","","","","","","","2","0","1","0","0","1","0","0","2021cprize-37; 2024cprize-08"
"Nature's Metropolis: Chicago and the Great West","William Cronin","1992","book","","","Norton","","","","2","1","1","0","0","0","0","0","2020cprize-58; 2021cprize-16"
"Necropolitics","Achille Mbembe; Libby Meintjes","2003","book","Fanon, frantz, 1925-1961; Political violence; Decolonization; Democracy; Postcolonialism","","Duke University Press","","","9781478007227","2","0","0","0","1","1","0","0","2023cprize-16; 2024cprize-38"
"New Orleans - Ecological Urbanism","Victor J. Jones","2013","chapter","","","Routledge","","Shaping the City: Studies in History, Theory, and Urban Design","","2","0","0","0","0","0","1","1","2026cprize-61; 2025cprize-36"
"Object-Oriented Ontology: A New Theory of Everything","Graham Harman","2018","book","Ontology; Objectivism (philosophy); Object (Philosophy)","We humans tend to believe that things are only real in as much as we perceive them, an idea reinforced by modern philosophy, which privileges us as special, radically different in kind from all other objects. But as Graham Harman, one of the theory's leading exponents, shows, Object-Oriented Ontology (OOO) rejects the idea of human specialness: the world, he states, is clearly not the world as man","Penguin Random House","","","9780241269176","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Oil Heritage in Iran and Malaysia: The Future Energy Legacy in the Persian Gulf and the South China Sea","A. Mehan; R. Abdul Razak","2022","chapter","","","Springer","","New Metropolitan Perspectives","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Oil Heritage in the Golden triangle: Spindeltop-Gladys City Boomtown","Z.J. Casey; A. Mehan","2023","article","","","","TICCIH","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Oil refineries in the urban fabric: Spatial development trends and environmental risks","N. Trofimova","2018","article","","","","Regional Research of Russia","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"On Inhumanity: Dehumanization and How to Resist It","David Livingston-Smith","2020","book","","","","","","","2","0","0","2","0","0","0","0","2022cprize-15; 2022cprize-18"
"On the Banks of Bayou City: The Center for Land Use Interpretation in Houston","Center for Land Use Interpretation; University of Houston","","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-29; 2021cprize-43"
"On the Origin of Species","Charles Darwin","1830","book","Evolution; Evolution (Biology); Evolución; great_books_of_the_western_world; Natural selection","Charles Darwin's seminal work laying the foundations for the principles of evolutionary biology via natural selection, based on evidence that he collected during his expedition on *HMS Beagle* in the 1830s.","","","","9785555357946","2","0","0","2","0","0","0","0","2022cprize-15; 2022cprize-18"
"On Weathering: The Life of Buildings in Time","Mohsen Mostafavi; David Leatherbarrow","1993","book","","","MIT Press","","","","2","0","0","0","0","1","0","1","2026cprize-62; 2024cprize-42"
"One Million Acres and No Zoning","Lars Lerup","","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-29; 2021cprize-43"
"One Thousand Years of Non-Linear History","Manuel DeLanda","","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-53; 2021cprize-34"
"Oneness vs. the 1%: Shattering Illusions, Seeding Freedom","Vandana Shiva","2010","book","","","","","","","2","0","0","2","0","0","0","0","2022cprize-15; 2022cprize-18"
"Operational Landscapes: Hinterlands of the Capitalocene","Neal Brenner; Nikos Katsikis","2020","article","","","","AD","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"Out of Order: Understanding Repair and Maintenance","Stephen Graham; Nigel Thrift","2007","article","","","","Theory, Culture & Society","","","2","1","0","0","0","1","0","0","2020cprize-46; 2024cprize-09"
"Out of the Land of Oz: the importance of tackling wicked environmental problems without taming them","C. Stahl","2014","article","","","","Environmental Decisions","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Pamphlet Architecture 16: Architecture as a Translation of Music","Stasus (Firm)","2012","book","","","Princeton Architectural Press","","","","2","1","0","1","0","0","0","0","2020cprize-59; 2022cprize-20"
"Passive and Low Energy Cooling of Buildings","Baruch Givoni","1994","book","Energy conservation; Ventilation; Air conditioning; Buildings; Architecture and climate","","","","","9780470308257","2","0","1","0","1","0","0","0","2021cprize-49; 2023cprize-28"
"Past, Present, Future: The Landscape as Design Collaborator","Gabriel Kaprielian","2018","other","","","","Proceedings of the 106th Annual Meeting of the Association of Collegiate Schools of Architecture (ACSA)","","","2","1","1","0","0","0","0","0","2020cprize-68; 2021cprize-27"
"Performance-Oriented Architecture: Rethinking Architectural Design and the Built Environment","Michael Hensel","2013","book","","","Wiley","","","","2","1","1","0","0","0","0","0","2020cprize-45; 2021cprize-49"
"Petroleum Industry Museums in Iran","A. Mehan","2022","article","","","","TICCIH Bulletin","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Planetary Mine: Territories of Extraction under Late Capitalism","Martín Arboleda","2020","book","","","Verso","","","","2","0","1","1","0","0","0","0","2022cprize-02; 2021cprize-54"
"Plastic Ocean","Charles Moore","2012","book","Plastic marine debris; Government policy; Environmental aspects; Law and legislation; Ships","","","","","9781583334249","2","0","0","0","1","1","0","0","2023cprize-32; 2024cprize-29"
"Points + Lines: Diagrams and Projects for the City","Stan Allen","2012","book","","","Princeton Architectural Press","","","","2","1","1","0","0","0","0","0","2020cprize-16; 2021cprize-28"
"Policy Paradox","Deborah Stone","1988","book","Policy sciences; Economic aspects; Political planning; Beleidsvorming; Economics","Policy making is a political struggle over values and ideas. By exposing the paradoxes that underlie even seemingly straightforward policy decisions, Policy Paradox shows students that politics cannot be cleansed from the process in favor of ""rationality."" Author Deborah Stone has fully revised and updated this popular text, which now includes many paradoxes that have arisen since September 11. Ex","W.W. Norton","","","9780393912722","2","1","1","0","0","0","0","0","2020cprize-34; 2021cprize-52"
"Pollution is Colonialism","Max Liboiron","2021","book","Political science; Environmentalism; Political aspects; Imperialism; Environmental aspects","","Duke University Press","","","9781478013228","2","0","0","1","1","0","0","0","2022cprize-02; 2023cprize-03"
"Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty","Abhijit Banerjee; Esther Duflo","2011","book","","","PublicAffairs","","","","2","1","0","0","0","0","0","1","2020cprize-47; 2026cprize-31"
"Populating the Climate","T. Corballis","2019","article","","","","Environmental Philosophy","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Port Cities and Mega-Trends: Glocal Approaches to Sustainable Transitions","A. Mehan","2021","website","","","The Port City Futures Blog","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Positive Social Interactions by Spatial Design: A Systematic Review of Empirical Literature in Memory Care Facilities for People Experiencing Dementia","F. Ferdous","2019","article","","","","Journal of Aging and Health","","","2","0","1","0","0","0","0","1","2021cprize-22; 2026cprize-25"
"Power from Wind: A History of Windmill Technology","Richard Leslie Hills","1996","book","","","Cambridge University Press","","","","2","0","0","0","1","1","0","0","2023cprize-17; 2024cprize-37"
"Powers of Ten","Charles Eames; Ray Eames","1977","other","Toy and movable books; Size perception -- Pictorial works; Consecutive powers (Algebra) -- Pictorial works; Cosmological distances -- Pictorial works; Protons -- Pictorial works","154p. : 16cm","","","","9780716734413","2","0","2","0","0","0","0","0","2021cprize-13; 2021cprize-29"
"Practice: Architecture, Technique, and Representation","Stan Allen","2009","book","Architectural Theory & Criticism; Architecture, philosophy; Architecture; Philosophy; Modern Architecture","xxv, 200 p. : 24 cm","Routledge","","","9789057010729","2","1","0","0","0","0","0","1","2020cprize-31; 2026cprize-35"
"Prefab Architecture: A Guide for Architects and Construction Professionals","Ryan E. Smith","2011","book","","","John Wiley & Sons","","","","2","1","0","0","0","0","0","1","2026cprize-54; 2020cprize-50"
"President Trump Eyes a New Real-Estate Purchase: Greenland","","","website","","","WSJ","","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"Professional Real Estate Development","Richard Peiser; Anne Frej","","book","Real estate development; Real estate business; Handbooks, manuals","","","","","9780874204780","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Programming the Urban Surface","James Corner; Alex Wall","1999","chapter","","","Princeton Architectural Press","","Recovering Landscape: Essays in Contemporary Landscape Theory","","2","0","0","1","0","0","1","0","2022cprize-11; 2025cprize-26"
"Promoting Social Equity and Building Resilience through Value-Inclusive Design","Eric Harris; Anna Franz; Sabine O'Hara","2023","article","","","","Buildings","","","2","0","0","0","0","0","1","1","2026cprize-22; 2025cprize-10"
"Proto architecture: analogue and digital hybrids","B. Sheil","2024","book","","","RIBA","","","","2","0","0","0","0","0","1","1","2026cprize-24; 2025cprize-23"
"Provisional Cities: Cautionary Tales for the Anthropocene","Renata Tyszczuk","2018","book","","","Routledge","","","","2","1","0","0","0","0","0","1","2020cprize-21; 2026cprize-17"
"Queer Ecology","Timothy Morton","2010","article","","","","","","","2","0","0","2","0","0","0","0","2022cprize-15; 2022cprize-18"
"Race After Technology: Abolitionist Tools for the New Jim Code","Ruha Benjamin","2019","book","","","Polity","","","","2","0","1","0","0","0","0","1","2026cprize-45; 2021cprize-47"
"Race for Profit: How Banks and the Real Estate Industry Undermined Black Homeownership","Keeanga-Yamahtta Taylor","2020","book","","","University of North Carolina Press","","","","2","0","0","1","0","0","1","0","2022cprize-02; 2025cprize-28"
"Race, Class, and Politics In the Cappuccino City","Derek S. Hyra","","book","Gentrification; Inner cities; Urban renewal; Washington (d.c.), social conditions; United states, race relations","","","","","9780226449531","2","0","0","0","0","0","1","1","2026cprize-22; 2025cprize-10"
"Radical Suburbs","Amanda Kolson Hurley","","book","Social sciences; Suburbs; History; Suburban life; Metropolitan areas","""American suburbs are not the homogeneous places we sometimes take them for. Today's suburbs are racially, ethnically, and economically diverse with as many Democratic as Republican voters, a growing population of renters, and rising poverty. The cliché of white picket fences is well past its expiration date. The history of suburbia is equally surprising: American suburbs were once fertile ground","","","","9781948742368","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Re-theorizing the collective action to address the climate change challenges: Towards resilient and inclusive agenda","A. Mehan","2023","article","","","","Canadian Journal of Regional Science","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Reclaimed! The Past, Present, and Future of Contested Urban Waterfronts","Gabriel Kaprielian","2018","other","","","","Proceedings of the International Conference of the Association of Collegiate Schools of Architecture","","","2","1","1","0","0","0","0","0","2020cprize-68; 2021cprize-27"
"Reclaiming Indigenous Planning","Ryan Walker; T. Jojola; D. Natcher","2013","book","","","McGill-Queen's University Press","","","","2","0","1","0","0","0","0","1","2021cprize-21; 2026cprize-33"
"Recommended Practice for Daylighting Buildings (IES RP-5-13)","Khaled Mansy","2013","report","","","IESNA","","","","2","1","1","0","0","0","0","0","2020cprize-07; 2021cprize-36"
"Reconstructing Italy: The Ina-Casa Neighborhoods of the Postwar Era","Stephanie Pilat","2014","book","","","Ashgate Press","","","","2","0","1","0","1","0","0","0","2021cprize-04; 2023cprize-06"
"Red Skins, White Masks: Rejecting the Colonial Politics of Recognition","Glen Sean Coulthard","2014","book","","","University of Minnesota Press","","","","2","1","1","0","0","0","0","0","2020cprize-14; 2021cprize-47"
"Redesigning Memory Care in the COVID-19 Era: Interdisciplinary Spatial Design Interventions to Minimize Social Isolation in Older Adults","F. Ferdous","2021","article","","","","Journal of Aging & Social Policy","","","2","0","1","0","0","0","0","1","2021cprize-22; 2026cprize-25"
"Redesigning the American Dream: The Future of Housing, Work and Family Life","Dolores Hayden","","book","","","","","","","2","0","0","0","0","2","0","0","2024cprize-01; 2024cprize-30"
"Redesigning the House","Ellen Dunham-Jones","","website","","","","Speedwell Talks","","","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Redevelopment and Race: Planning A Finer City in Post-War Detroit","June Manning Thomas","","book","","","","","","","2","0","0","0","0","0","1","1","2026cprize-22; 2025cprize-10"
"Refabricating Architecture","Stephen Kieran; James Timberlake","2004","book","Building; Aesthetics; Architecture; Technological innovations; Technology transfer","""This thought-provoking book presents a compelling argument for moving architecture from a part-by-part, linear approach to an integrated one that brings together technology, materials, and production methods. Using examples from several industries that have successfully made the change to an integrated component approach, these visionary authors lay the groundwork for a dramatic and much-needed c","McGraw-Hill","","","9780071433211","2","1","0","0","0","1","0","0","2020cprize-50; 2024cprize-01"
